성별,연령,유형,파일명
male,teen,elegant,male_teen_elegant.mp3
male,teen,tomboy,male_teen_tomboy.mp3
male,teen,warrior,male_teen_warrior.mp3
male,teen,mage,male_teen_mage.mp3
male,teen,rogue,male_teen_rogue.mp3
male,teen,villain,male_teen_villain.mp3
male,teen,mad,male_teen_mad.mp3
male,young,tsundere,male_young_tsundere.mp3
male,young,yandere,male_young_yandere.mp3
male,young,cool,male_young_cool.mp3
male,young,pure,male_young_pure.mp3
male,young,elegant,male_young_elegant.mp3
male,young,tomboy,male_young_tomboy.mp3
male,young,warrior,male_young_warrior.mp3
male,young,mage,male_young_mage.mp3
male,young,rogue,male_young_rogue.mp3
male,young,villain,male_young_villain.mp3
male,young,mad,male_young_mad.mp3
male,adult,tsundere,male_adult_tsundere.mp3
male,adult,yandere,male_adult_yandere.mp3
male,adult,cool,male_adult_cool.mp3
male,adult,pure,male_adult_pure.mp3
male,adult,elegant,male_adult_elegant.mp3
male,adult,tomboy,male_adult_tomboy.mp3
male,adult,warrior,male_adult_warrior.mp3
male,adult,mage,male_adult_mage.mp3
male,adult,rogue,male_adult_rogue.mp3
male,adult,villain,male_adult_villain.mp3
male,adult,mad,male_adult_mad.mp3
male,elder,tsundere,male_elder_tsundere.mp3
male,elder,yandere,male_elder_yandere.mp3
male,elder,cool,male_elder_cool.mp3
male,elder,pure,male_elder_pure.mp3
male,elder,elegant,male_elder_elegant.mp3
male,elder,tomboy,male_elder_tomboy.mp3
male,elder,warrior,male_elder_warrior.mp3
male,elder,mage,male_elder_mage.mp3
male,elder,rogue,male_elder_rogue.mp3
male,elder,villain,male_elder_villain.mp3
male,elder,mad,male_elder_mad.mp3
neutral,child,tsundere,neutral_child_tsundere.mp3
neutral,child,yandere,neutral_child_yandere.mp3
neutral,child,cool,neutral_child_cool.mp3
neutral,child,pure,neutral_child_pure.mp3
neutral,child,elegant,neutral_child_elegant.mp3
neutral,child,tomboy,neutral_child_tomboy.mp3
neutral,child,warrior,neutral_child_warrior.mp3
neutral,child,mage,neutral_child_mage.mp3
neutral,child,rogue,neutral_child_rogue.mp3
neutral,child,villain,neutral_child_villain.mp3
neutral,child,mad,neutral_child_mad.mp3
neutral,teen,tsundere,neutral_teen_tsundere.mp3
neutral,teen,yandere,neutral_teen_yandere.mp3
neutral,teen,cool,neutral_teen_cool.mp3
neutral,teen,pure,neutral_teen_pure.mp3
neutral,teen,elegant,neutral_teen_elegant.mp3
neutral,teen,tomboy,neutral_teen_tomboy.mp3
neutral,teen,warrior,neutral_teen_warrior.mp3
neutral,teen,mage,neutral_teen_mage.mp3
neutral,teen,rogue,neutral_teen_rogue.mp3
neutral,teen,villain,neutral_teen_villain.mp3
neutral,teen,mad,neutral_teen_mad.mp3
neutral,young,tsundere,neutral_young_tsundere.mp3
neutral,young,yandere,neutral_young_yandere.mp3
neutral,young,cool,neutral_young_cool.mp3
neutral,young,pure,neutral_young_pure.mp3
neutral,young,elegant,neutral_young_elegant.mp3
neutral,young,tomboy,neutral_young_tomboy.mp3
neutral,young,warrior,neutral_young_warrior.mp3
neutral,young,mage,neutral_young_mage.mp3
neutral,young,rogue,neutral_young_rogue.mp3
neutral,young,villain,neutral_young_villain.mp3
neutral,young,mad,neutral_young_mad.mp3
neutral,adult,tsundere,neutral_adult_tsundere.mp3
neutral,adult,yandere,neutral_adult_yandere.mp3
neutral,adult,cool,neutral_adult_cool.mp3
neutral,adult,pure,neutral_adult_pure.mp3
neutral,adult,elegant,neutral_adult_elegant.mp3
neutral,adult,tomboy,neutral_adult_tomboy.mp3
neutral,adult,warrior,neutral_adult_warrior.mp3
neutral,adult,mage,neutral_adult_mage.mp3
neutral,adult,rogue,neutral_adult_rogue.mp3
neutral,adult,villain,neutral_adult_villain.mp3
neutral,adult,mad,neutral_adult_mad.mp3
neutral,elder,tsundere,neutral_elder_tsundere.mp3
neutral,elder,yandere,neutral_elder_yandere.mp3
neutral,elder,cool,neutral_elder_cool.mp3
neutral,elder,pure,neutral_elder_pure.mp3
neutral,elder,elegant,neutral_elder_elegant.mp3
neutral,elder,tomboy,neutral_elder_tomboy.mp3
neutral,elder,warrior,neutral_elder_warrior.mp3
neutral,elder,mage,neutral_elder_mage.mp3
neutral,elder,rogue,neutral_elder_rogue.mp3
neutral,elder,villain,neutral_elder_villain.mp3
neutral,elder,mad,neutral_elder_mad.mp3
